Eruption, Onset_yyyymmdd, Interevent_time_days, Volume_lava_and_tephra_(10^6m^3)
1,1607 06 28, 954, 158.00
2,1610 02 06, 86, 30.00
3,1610 05 03, 1520, 91.71
4,1614 07 01, 7476, 1071.00
5,1634 12 19, 2985, 203.03
6,1643 02 20, 1369, 4.12
7,1646 11 20, 1519, 162.45
8,1651 01 17, 6628, 497.53
9,1669 03 11, 7308, 1247.50
10,1689 03 14, 4741, 20.00
11,1702 03 08, 19359, 16.94
12,1755 03 09, 2891, 4.73
13,1763 02 06, 132, 21.08
14,1763 06 18, 197, 149.96
15,1764 01 01, 847, 117.20
16,1766 04 27, 5135, 137.25
17,1780 05 18, 4391, 29.35
18,1792 05 26, 3824, 90.13
19,1802 11 15, 2324, 10.43
20,1809 03 27, 944, 38.19
21,1811 10 27, 2769, 54.33
22,1819 05 27, 4906, 47.92
23,1832 10 31, 4034, 60.74
24,1843 11 17, 3199, 55.70
25,1852 08 20, 4519, 134.00
26,1865 01 03, 3525, 94.33
27,1874 08 29, 1731, 1.47
28,1879 05 26, 1396, 41.93
29,1883 03 22, 1154, 0.25
30,1886 05 19, 2243, 42.52
31,1892 07 09, 5772, 130.58
32,1908 04 29, 693, 2.20
33,1910 03 23, 536, 65.20
34,1911 09 10, 2638, 56.60
35,1918 11 30, 1660, 1.20
36,1923 06 17, 1965, 78.50
37,1928 11 02, 4988, 42.50
38,1942 06 30, 1700, 1.80
39,1947 02 24, 1012, 11.90
40,1949 12 02, 358, 10.20
41,1950 11 25, 1923, 152.00
42,1956 03 01, 4329, 0.50
43,1968 01 07, 1184, 1.00
44,1971 04 05, 1031, 78.00
45,1974 01 30, 40, 4.40
46,1974 03 11, 350, 3.20
47,1975 02 24, 278, 11.80
48,1975 11 29, 882, 29.40
49,1978 04 29, 118, 27.50
50,1978 08 25, 90, 4.00
51,1978 11 23, 253, 11.00
52,1979 08 03, 592, 7.50
53,1981 03 17, 741, 33.30
54,1983 03 28, 713, 100.00
55,1985 03 10, 599, 30.03
56,1986 10 30, 1106, 60.00
57,1989 11 09, 765, 38.40
58,1991 12 14, 3503, 250.00
59,2001 07 17, 467, 40.90
60,2002 10 27, 681, 131.50
61,2004 09 07, 675, 40.00
62,2006 07 14, 669, 25.00
63,2008 05 13, , 35.00
